element	wave_A	unc_obs_wl	ritz_wl_air(A)	unc_ritz_wl	intens	Aki(s^-1)	loggf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref
Ar 1	7635.106		7635.1054		25000	2.45e+07	0.03	B	93143.7600	106237.5518	3s2.3p5.(2P*<3/2>).4s	2[3/2]*	2	3s2.3p5.(2P*<3/2>).4p	2[3/2]	2		T5223	L2634
Ar 1	7723.761		7723.7600		15000	5.2e+06	-0.857	B+	93143.7600	106087.2598	3s2.3p5.(2P*<3/2>).4s	2[3/2]*	2	3s2.3p5.(2P*<3/2>).4p	2[3/2]	1		T5223	L2634
Ar 1	7948.176		7948.1759		20000	1.86e+07	-0.28	B	94553.6652	107131.7086	3s2.3p5.(2P*<1/2>).4s	2[1/2]*	0	3s2.3p5.(2P*<1/2>).4p	2[3/2]	1		T5223	L2634
Ar 1	8014.786		8014.7854		25000	9.3e+06	-0.35	B	93143.7600	105617.2700	3s2.3p5.(2P*<3/2>).4s	2[3/2]*	2	3s2.3p5.(2P*<3/2>).4p	2[5/2]	2		T5223	L2634
Ar 1	8103.693		8103.6921		20000	2.50e+07	-0.131	B+	93750.5978	106087.2598	3s2.3p5.(2P*<3/2>).4s	2[3/2]*	1	3s2.3p5.(2P*<3/2>).4p	2[3/2]	1		T5223	L2634
Ar 1	8115.311		8115.3109		35000	3.3e+07	0.36	B	93143.7600	105462.7596	3s2.3p5.(2P*<3/2>).4s	2[3/2]*	2	3s2.3p5.(2P*<3/2>).4p	2[5/2]	3		T5223	L2634
Ar 1	8264.522		8264.5215		10000	1.53e+07	-0.328	B+	95399.8276	107496.4166	3s2.3p5.(2P*<1/2>).4s	2[1/2]*	1	3s2.3p5.(2P*<1/2>).4p	2[1/2]	1		T5223	L2634
Ar 1	8408.210		8408.2085		15000	2.23e+07	0.073	B+	95399.8276	107289.7001	3s2.3p5.(2P*<1/2>).4s	2[1/2]*	1	3s2.3p5.(2P*<1/2>).4p	2[3/2]	2		T5223	L2634
Ne 1	8418.4265	0.0004	8418.4274	0.0010	26000	1.56e+07	-0.08	B+	149824.2215	161699.6613	2s2.2p5.(2P*<3/2>).3p	2[5/2]	2	2s2.2p5.(2P*<3/2>).3d	2[5/2]*	2		T6976	L3451
Ar 1	8521.442		8521.4411		15000	1.39e+07	-0.34	B	95399.8276	107131.7086	3s2.3p5.(2P*<1/2>).4s	2[1/2]*	1	3s2.3p5.(2P*<1/2>).4p	2[3/2]	1		T5223	L2634
Ar 1	9122.967		9122.9666		35000	1.89e+07	-0.15	B	93143.7600	104102.0990	3s2.3p5.(2P*<3/2>).4s	2[3/2]*	2	3s2.3p5.(2P*<3/2>).4p	2[1/2]	1		T5223	L2634
Ne 1	9148.6720	0.0010	9148.6716	0.0012	12000	6.02e+06	-0.42	B	150772.1118	161699.6613	2s2.2p5.(2P*<1/2>).3p	2[3/2]	1	2s2.2p5.(2P*<3/2>).3d	2[5/2]*	2		T6976	L9097
